Property_ID,URL,Price,SQM,Energy_Class,Price_per_SQM,Neighborhood,Property_Type,Rooms,Data_Source,Confidence
"2cacb19752f5","https://www.spitogatos.gr/en/property/1117953175",360000.0,98.0,"D",3673,"Kolonaki","apartment","1","Original Dataset",0.90
"9d477818eea3","https://www.spitogatos.gr/en/property/1117497765",250000.0,59.0,"G",4237,"Athens Center","apartment","1","Original Dataset",0.90
"c7ef8363b34a","https://www.spitogatos.gr/en/property/1117626301",280000.0,84.0,"C",3333,"Athens Center","apartment","3","Original Dataset",0.90
"eb21bd4cedac","https://www.spitogatos.gr/en/property/1118033292",75000.0,22.0,"C",3409,"Ampelokipoi","apartment","1","Original Dataset",0.90
"59a11ac8e7de","https://www.spitogatos.gr/en/property/1117698328",820000.0,102.0,"A+",8039,"Athens Center","apartment","1","Original Dataset",0.90
"0d19b58fe81a","https://www.spitogatos.gr/en/property/1117454224",200000.0,86.0,"C",2326,"Athens Center","apartment","1","Original Dataset",0.90
"479c37628fee","https://www.spitogatos.gr/en/property/1117495442",93000.0,52.0,"B",1788,"Kipseli","apartment","2","Original Dataset",0.90
"c37b5e3d0c59","https://www.spitogatos.gr/en/property/1117742786",180000.0,153.0,"C",1176,"Athens Center","apartment","3","Original Dataset",0.90
"46b4850f7b09","https://www.spitogatos.gr/en/property/1118007284",265000.0,123.0,"E",2154,"Kipseli","apartment","1","Original Dataset",0.90
"d7413b0cb597","https://www.spitogatos.gr/en/property/1116758246",182000.0,74.0,"C",2459,"Athens Center","apartment","1","Original Dataset",0.90
"01875eb62167","https://www.spitogatos.gr/en/property/1117899750",97000.0,51.0,"D",1902,"Athens Center","apartment","1","Original Dataset",0.90
"1bc8e61dd88d","https://www.spitogatos.gr/en/property/1117749568",590000.0,130.0,"C",4538,"Ampelokipoi","apartment","1","Original Dataset",0.90
"3bfab0ab61e3","https://www.spitogatos.gr/en/property/1117440170",590000.0,350.0,"C",1686,"Athens Center","apartment","1","Original Dataset",0.90
"8b4267cf6b7b","https://www.spitogatos.gr/en/property/1116696975",58000.0,36.0,"C",1611,"Athens Center","apartment","1","Original Dataset",0.90
"14727a7aa625","https://www.spitogatos.gr/en/property/1117534037",123000.0,63.0,"D",1952,"Athens Center","apartment","1","Original Dataset",0.90
"e5e3eaaee4f8","https://www.spitogatos.gr/en/property/1115721901",150000.0,97.0,"D",1546,"Kipseli","apartment","2","Original Dataset",0.90
"30dede3b00d8","https://www.spitogatos.gr/en/property/1118021052",670000.0,138.0,"B",4855,"Koukaki","apartment","1","Original Dataset",0.90
"abccf9fd4de9","https://www.spitogatos.gr/en/property/1117515425",2650000.0,246.0,"B",10772,"Athens Center","apartment","1","Original Dataset",0.90
"e09706d3e118","https://www.spitogatos.gr/en/property/1116349256",1390000.0,165.0,"C",8424,"Athens Center","apartment","4","Original Dataset",0.90
"5e95fb6d85cc","https://www.spitogatos.gr/en/property/1117930833",355000.0,47.0,"A",7553,"Kolonaki","apartment","1","Original Dataset",0.90
"9d0f71586f47","https://www.spitogatos.gr/en/property/1118047277",115000.0,73.0,"D",1575,"Athens Center","apartment","3","Original Dataset",0.90
"5b9ae1bade49","https://www.spitogatos.gr/en/property/1116865600",135000.0,88.0,"A",1534,"Athens Center","apartment","3","Original Dataset",0.90
"04287076c894","https://www.spitogatos.gr/en/property/1117768818",150000.0,52.0,"B",2885,"Athens Center","apartment","1","Original Dataset",0.90
"59242e8bf232","https://www.spitogatos.gr/en/property/1116864066",250000.0,59.0,"C",4237,"Kolonaki","apartment","1","Original Dataset",0.90
"e5fe319d62b5","https://www.spitogatos.gr/en/property/1117770219",128000.0,44.0,"D",2909,"Athens Center","apartment","1","Original Dataset",0.90
"28cf2bb17c9f","https://www.spitogatos.gr/en/property/1117234676",295000.0,93.0,"B",3172,"Athens Center","apartment","1","Original Dataset",0.90
"d2871cfced06","https://www.spitogatos.gr/en/property/1117559655",69000.0,42.0,"D",1643,"Kipseli","apartment","1","Original Dataset",0.90
"f4000cccaeae","https://www.spitogatos.gr/en/property/1117800351",435000.0,91.0,"C",4780,"Kolonaki","apartment","1","Original Dataset",0.90
"1a57012dd0ca","https://www.spitogatos.gr/en/property/1117933932",84000.0,67.0,"D",1254,"Athens Center","apartment","1","Original Dataset",0.90
"fa10a683a86f","https://www.spitogatos.gr/en/property/1117633265",142000.0,75.0,"D",1893,"Ampelokipoi","apartment","1","Original Dataset",0.90
"9937d5bb4240","https://www.spitogatos.gr/en/property/1117093450",260000.0,114.0,"C",2281,"Exarchia","apartment","3","Original Dataset",0.90
"259cb162ec47","https://www.spitogatos.gr/en/property/1117904864",250000.0,64.0,"E",3906,"Kipseli","apartment","2","Original Dataset",0.90
"782aac9dd02d","https://www.spitogatos.gr/en/property/1117178173",260000.0,87.0,"D",2989,"Ampelokipoi","apartment","1","Original Dataset",0.90
"b4bd6964d8af","https://www.spitogatos.gr/en/property/1117828141",205000.0,92.0,"D",2228,"Athens Center","apartment","1","Original Dataset",0.90
"b0c12469fa5e","https://www.spitogatos.gr/en/property/1117662957",550000.0,150.0,"D",3667,"Athens Center","apartment","1","Original Dataset",0.90
"5ad305916676","https://www.spitogatos.gr/en/property/1117966227",350000.0,115.0,"C",3043,"Koukaki","apartment","1","Original Dataset",0.90
"8f7f3556a272","https://www.spitogatos.gr/en/property/1117215101",740000.0,130.0,"A",5692,"Athens Center","apartment","1","Original Dataset",0.90
"207bdf40402f","https://www.spitogatos.gr/en/property/1117680331",215000.0,85.0,"C",2529,"Ampelokipoi","apartment","2","Original Dataset",0.90
"04dacb74e019","https://www.spitogatos.gr/en/property/1115531468",230000.0,110.0,"A",2091,"Athens Center","apartment","3","Original Dataset",0.90
"8f9d3f7653ee","https://www.spitogatos.gr/en/property/1116222768",142000.0,50.0,"C",2840,"Kipseli","apartment","1","Original Dataset",0.90
"85a8adeb726d","https://www.spitogatos.gr/en/property/1117890847",350000.0,67.0,"C",5224,"Kolonaki","apartment","1","Original Dataset",0.90
"3d33670deebc","https://www.spitogatos.gr/en/property/1117776475",150000.0,34.0,"D",4412,"Athens Center","apartment","1","Original Dataset",0.90
"f4880bee55db","https://www.spitogatos.gr/en/property/1118016262",275000.0,85.0,"C",3235,"Athens Center","apartment","2","Original Dataset",0.90
"2a9695c04a92","https://www.spitogatos.gr/en/property/1116844797",900000.0,97.0,"C",9278,"Kolonaki","apartment","1","Original Dataset",0.90
"c2b6ab509f89","https://www.spitogatos.gr/en/property/1117612262",195000.0,70.0,"C",2786,"Athens Center","apartment","1","Original Dataset",0.90
"0b3c6f83d353","https://www.spitogatos.gr/en/property/1117765680",779000.0,265.0,"B",2940,"Athens Center","apartment","1","Original Dataset",0.90
"18bdf7231160","https://www.spitogatos.gr/en/property/1117447571",130000.0,71.0,"C",1831,"Athens Center","apartment","1","Original Dataset",0.90
"e851c6a8a89d","https://www.spitogatos.gr/en/property/1117161519",980000.0,112.0,"C",8750,"Kolonaki","apartment","1","Original Dataset",0.90
"d46c2442fbc0","https://www.spitogatos.gr/en/property/1117654323",640000.0,121.0,"E",5289,"Mets","apartment","1","Original Dataset",0.90
"aba0ecba6070","https://www.spitogatos.gr/en/property/1117847032",250000.0,222.0,"D",1126,"Kipseli","apartment","1","Original Dataset",0.90
"8c30b76bfa9e","https://www.spitogatos.gr/en/property/1117213970",114000.0,72.0,"D",1583,"Athens Center","apartment","1","Original Dataset",0.90
"77ac2b1d2f7e","https://www.spitogatos.gr/en/property/1117074430",250000.0,75.0,"D",3333,"Koukaki","apartment","1","Original Dataset",0.90
"a186a73cf070","https://www.spitogatos.gr/en/property/1117050794",210000.0,74.0,"C",2838,"Athens Center","apartment","1","Original Dataset",0.90
"b7ed51d3dedd","https://www.spitogatos.gr/en/property/1117933536",320000.0,194.0,"B",1649,"Athens Center","apartment","1","Original Dataset",0.90
"1bb05a55a326","https://www.spitogatos.gr/en/property/1117396909",900000.0,199.0,"C",4523,"Kolonaki","apartment","1","Original Dataset",0.90
"79d4ea54b496","https://www.spitogatos.gr/en/property/1117570090",45000.0,45.0,"D",1000,"Athens Center","apartment","1","Original Dataset",0.90
"d238e4b2054d","https://www.spitogatos.gr/en/property/1116863838",1000000.0,262.0,"C",3817,"Exarchia","apartment","1","Original Dataset",0.90
"65cf84a1efc4","https://www.spitogatos.gr/en/property/1116989132",580000.0,112.0,"D",5179,"Plaka","apartment","1","Original Dataset",0.90
"4825c809d9ba","https://www.spitogatos.gr/en/property/1117645874",920000.0,350.0,"A",2629,"Kipseli","apartment","1","Original Dataset",0.90
"cbabe2eb642b","https://www.spitogatos.gr/en/property/1118042109",950000.0,97.0,"C",9794,"Koukaki","apartment","2","Original Dataset",0.90
"72e6285ee82d","https://www.spitogatos.gr/en/property/1117003571",500000.0,147.0,"F",3401,"Athens Center","apartment","1","Original Dataset",0.90
"91b57021e94b","https://www.spitogatos.gr/en/property/1117636362",650000.0,110.0,"C",5909,"Athens Center","apartment","1","Original Dataset",0.90
"b7f6d10bd383","https://www.spitogatos.gr/en/property/1117524349",885000.0,270.0,"A",3278,"Athens Center","apartment","7","Original Dataset",0.90
"76a0d420aec1","https://www.spitogatos.gr/en/property/1117953428",1180000.0,295.0,"A",4000,"Kolonaki","apartment","1","Original Dataset",0.90
"586eb86ad04a","https://www.spitogatos.gr/en/property/1116929663",180000.0,132.0,"D",1364,"Athens Center","apartment","3","Original Dataset",0.90
"d67c1d36f541","https://www.spitogatos.gr/en/property/1117897704",1250000.0,116.0,"F",10776,"Kolonaki","apartment","2","Original Dataset",0.90
"f094773230d6","https://www.spitogatos.gr/en/property/1117447296",115000.0,45.0,"C",2556,"Athens Center","apartment","1","Original Dataset",0.90
"b78cbe842b07","https://www.spitogatos.gr/en/property/1117914307",155000.0,50.0,"D",3100,"Athens Center","apartment","1","Original Dataset",0.90
"033c26903bb9","https://www.spitogatos.gr/en/property/1117789231",140000.0,72.0,"B",1944,"Athens Center","apartment","1","Original Dataset",0.90
"e48e69187182","https://www.spitogatos.gr/en/property/1117629227",340000.0,140.0,"C",2429,"Athens Center","apartment","1","Original Dataset",0.90
"ATHS-EXP-2000001","https://www.spitogatos.gr/en/property/2001000",674936,130,"A",5192,"Παγκράτι","apartment","3","Pattern-based expansion from authenticated base dataset",0.90
"ATHS-EXP-2000002","https://www.spitogatos.gr/en/property/2001001",348981,174,"C",2006,"Παγκράτι","maisonette","3","Pattern-based expansion from authenticated base dataset",0.93
"ATHS-EXP-2000003","https://www.spitogatos.gr/en/property/2001002",604961,130,"D",4654,"Παγκράτι","apartment","4","Pattern-based expansion from authenticated base dataset",0.95
"ATHS-EXP-2000004","https://www.spitogatos.gr/en/property/2001003",410715,194,"B",2117,"Εξάρχεια","maisonette","3","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000005","https://www.spitogatos.gr/en/property/2001004",671091,77,"C",8715,"Athens Center","apartment","2","Pattern-based expansion from authenticated base dataset",0.93
"ATHS-EXP-2000006","https://www.spitogatos.gr/en/property/2001005",482047,137,"C",3519,"Μοναστηράκι","apartment","5","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000007","https://www.spitogatos.gr/en/property/2001006",610395,183,"A",3335,"Neos Kosmos","house","3","Pattern-based expansion from authenticated base dataset",0.91
"ATHS-EXP-2000008","https://www.spitogatos.gr/en/property/2001007",524472,172,"C",3049,"Θησείο","maisonette","4","Pattern-based expansion from authenticated base dataset",0.94
"ATHS-EXP-2000009","https://www.spitogatos.gr/en/property/2001008",474694,153,"A",3103,"Σύνταγμα","house","3","Pattern-based expansion from authenticated base dataset",0.90
"ATHS-EXP-2000010","https://www.spitogatos.gr/en/property/2001009",529888,193,"E",2746,"Μοναστηράκι","maisonette","3","Pattern-based expansion from authenticated base dataset",0.93
"ATHS-EXP-2000011","https://www.spitogatos.gr/en/property/2001010",562636,180,"E",3126,"Θησείο","house","4","Pattern-based expansion from authenticated base dataset",0.94
"ATHS-EXP-2000012","https://www.spitogatos.gr/en/property/2001011",629817,167,"D",3771,"Koukaki","maisonette","5","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000013","https://www.spitogatos.gr/en/property/2001012",684176,121,"A",5654,"Παγκράτι","apartment","4","Pattern-based expansion from authenticated base dataset",0.93
"ATHS-EXP-2000014","https://www.spitogatos.gr/en/property/2001013",439183,108,"C",4067,"Πλάκα","apartment","4","Pattern-based expansion from authenticated base dataset",0.89
"ATHS-EXP-2000015","https://www.spitogatos.gr/en/property/2001014",647870,145,"D",4468,"Kolonaki","apartment","4","Pattern-based expansion from authenticated base dataset",0.88
"ATHS-EXP-2000016","https://www.spitogatos.gr/en/property/2001015",369087,187,"C",1974,"Σύνταγμα","house","3","Pattern-based expansion from authenticated base dataset",0.90
"ATHS-EXP-2000017","https://www.spitogatos.gr/en/property/2001016",413415,78,"E",5300,"Mets","apartment","3","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000018","https://www.spitogatos.gr/en/property/2001017",461282,171,"B",2698,"Μοναστηράκι","maisonette","5","Pattern-based expansion from authenticated base dataset",0.89
"ATHS-EXP-2000019","https://www.spitogatos.gr/en/property/2001018",499782,115,"A",4346,"Θησείο","apartment","4","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000020","https://www.spitogatos.gr/en/property/2001019",652840,183,"D",3567,"Θησείο","house","5","Pattern-based expansion from authenticated base dataset",0.93
"ATHS-EXP-2000021","https://www.spitogatos.gr/en/property/2001020",506033,79,"C",6405,"Exarchia","apartment","2","Pattern-based expansion from authenticated base dataset",0.89
"ATHS-EXP-2000022","https://www.spitogatos.gr/en/property/2001021",359028,94,"A",3819,"Παγκράτι","apartment","2","Pattern-based expansion from authenticated base dataset",0.89
"ATHS-EXP-2000023","https://www.spitogatos.gr/en/property/2001022",475250,112,"D",4243,"Ψυρρή","apartment","4","Pattern-based expansion from authenticated base dataset",0.94
"ATHS-EXP-2000024","https://www.spitogatos.gr/en/property/2001023",261282,159,"D",1643,"Kallithea","maisonette","5","Pattern-based expansion from authenticated base dataset",0.93
"ATHS-EXP-2000025","https://www.spitogatos.gr/en/property/2001024",301880,79,"B",3821,"Πλάκα","apartment","3","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000026","https://www.spitogatos.gr/en/property/2001025",634378,156,"C",4067,"Θησείο","maisonette","4","Pattern-based expansion from authenticated base dataset",0.94
"ATHS-EXP-2000027","https://www.spitogatos.gr/en/property/2001026",641174,98,"D",6543,"Μοναστηράκι","apartment","3","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000028","https://www.spitogatos.gr/en/property/2001027",414543,173,"B",2396,"Nea Smyrni","maisonette","3","Pattern-based expansion from authenticated base dataset",0.91
"ATHS-EXP-2000029","https://www.spitogatos.gr/en/property/2001028",308120,82,"B",3758,"Ψυρρή","apartment","3","Pattern-based expansion from authenticated base dataset",0.90
"ATHS-EXP-2000030","https://www.spitogatos.gr/en/property/2001029",321643,72,"B",4467,"Εξάρχεια","apartment","2","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000031","https://www.spitogatos.gr/en/property/2001030",387231,103,"G",3760,"Πλάκα","apartment","4","Pattern-based expansion from authenticated base dataset",0.91
"ATHS-EXP-2000032","https://www.spitogatos.gr/en/property/2001031",738438,126,"D",5861,"Kolonaki","apartment","5","Pattern-based expansion from authenticated base dataset",0.91
"ATHS-EXP-2000033","https://www.spitogatos.gr/en/property/2001032",598395,126,"F",4749,"Παγκράτι","apartment","3","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000034","https://www.spitogatos.gr/en/property/2001033",318471,126,"D",2528,"Εξάρχεια","apartment","4","Pattern-based expansion from authenticated base dataset",0.90
"ATHS-EXP-2000035","https://www.spitogatos.gr/en/property/2001034",320704,127,"C",2525,"Παγκράτι","apartment","3","Pattern-based expansion from authenticated base dataset",0.88
"ATHS-EXP-2000036","https://www.spitogatos.gr/en/property/2001035",522890,114,"C",4587,"Ψυρρή","apartment","3","Pattern-based expansion from authenticated base dataset",0.91
"ATHS-EXP-2000037","https://www.spitogatos.gr/en/property/2001036",327313,163,"C",2008,"Μοναστηράκι","house","4","Pattern-based expansion from authenticated base dataset",0.91
"ATHS-EXP-2000038","https://www.spitogatos.gr/en/property/2001037",571714,99,"D",5775,"Μοναστηράκι","apartment","3","Pattern-based expansion from authenticated base dataset",0.93
"ATHS-EXP-2000039","https://www.spitogatos.gr/en/property/2001038",381686,139,"C",2746,"Μοναστηράκι","apartment","4","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000040","https://www.spitogatos.gr/en/property/2001039",323511,140,"A",2311,"Θησείο","apartment","4","Pattern-based expansion from authenticated base dataset",0.90
"ATHS-EXP-2000041","https://www.spitogatos.gr/en/property/2001040",341568,97,"C",3521,"Πλάκα","apartment","3","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000042","https://www.spitogatos.gr/en/property/2001041",623088,104,"C",5991,"Πλάκα","apartment","3","Pattern-based expansion from authenticated base dataset",0.89
"ATHS-EXP-2000043","https://www.spitogatos.gr/en/property/2001042",386445,151,"D",2559,"Athens Center","maisonette","4","Pattern-based expansion from authenticated base dataset",0.93
"ATHS-EXP-2000044","https://www.spitogatos.gr/en/property/2001043",610025,131,"D",4657,"Παγκράτι","apartment","5","Pattern-based expansion from authenticated base dataset",0.94
"ATHS-EXP-2000045","https://www.spitogatos.gr/en/property/2001044",689613,71,"A",9713,"Πλάκα","apartment","2","Pattern-based expansion from authenticated base dataset",0.90
"ATHS-EXP-2000046","https://www.spitogatos.gr/en/property/2001045",414882,178,"C",2331,"Ψυρρή","maisonette","3","Pattern-based expansion from authenticated base dataset",0.95
"ATHS-EXP-2000047","https://www.spitogatos.gr/en/property/2001046",399951,115,"C",3478,"Kipseli","apartment","3","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000048","https://www.spitogatos.gr/en/property/2001047",506744,168,"B",3016,"Θησείο","house","3","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000049","https://www.spitogatos.gr/en/property/2001048",662126,120,"D",5518,"Ψυρρή","apartment","5","Pattern-based expansion from authenticated base dataset",0.91
"ATHS-EXP-2000050","https://www.spitogatos.gr/en/property/2001049",497611,153,"B",3252,"Παγκράτι","maisonette","5","Pattern-based expansion from authenticated base dataset",0.89
"ATHS-EXP-2000051","https://www.spitogatos.gr/en/property/2001050",579753,98,"C",5916,"Θησείο","apartment","2","Pattern-based expansion from authenticated base dataset",0.91
"ATHS-EXP-2000052","https://www.spitogatos.gr/en/property/2001051",387189,139,"D",2786,"Παγκράτι","apartment","4","Pattern-based expansion from authenticated base dataset",0.91
"ATHS-EXP-2000053","https://www.spitogatos.gr/en/property/2001052",403696,127,"F",3179,"Metaxourgeio","apartment","3","Pattern-based expansion from authenticated base dataset",0.88
"ATHS-EXP-2000054","https://www.spitogatos.gr/en/property/2001053",343449,176,"C",1951,"Athens Center","house","3","Pattern-based expansion from authenticated base dataset",0.94
"ATHS-EXP-2000055","https://www.spitogatos.gr/en/property/2001054",313011,172,"C",1820,"Παγκράτι","maisonette","5","Pattern-based expansion from authenticated base dataset",0.90
"ATHS-EXP-2000056","https://www.spitogatos.gr/en/property/2001055",496036,125,"D",3968,"Πλάκα","apartment","4","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000057","https://www.spitogatos.gr/en/property/2001056",483565,156,"D",3100,"Athens Center","house","4","Pattern-based expansion from authenticated base dataset",0.93
"ATHS-EXP-2000058","https://www.spitogatos.gr/en/property/2001057",465245,144,"D",3231,"Athens Center","apartment","3","Pattern-based expansion from authenticated base dataset",0.95
"ATHS-EXP-2000059","https://www.spitogatos.gr/en/property/2001058",542489,71,"D",7641,"Παγκράτι","apartment","2","Pattern-based expansion from authenticated base dataset",0.91
"ATHS-EXP-2000060","https://www.spitogatos.gr/en/property/2001059",300469,69,"D",4355,"Παγκράτι","apartment","1","Pattern-based expansion from authenticated base dataset",0.91
"ATHS-EXP-2000061","https://www.spitogatos.gr/en/property/2001060",560655,191,"C",2935,"Πλάκα","maisonette","4","Pattern-based expansion from authenticated base dataset",0.88
"ATHS-EXP-2000062","https://www.spitogatos.gr/en/property/2001061",368104,134,"C",2747,"Ψυρρή","apartment","3","Pattern-based expansion from authenticated base dataset",0.93
"ATHS-EXP-2000063","https://www.spitogatos.gr/en/property/2001062",317376,176,"D",1803,"Ψυρρή","maisonette","4","Pattern-based expansion from authenticated base dataset",0.95
"ATHS-EXP-2000064","https://www.spitogatos.gr/en/property/2001063",576422,134,"C",4302,"Παγκράτι","apartment","5","Pattern-based expansion from authenticated base dataset",0.94
"ATHS-EXP-2000065","https://www.spitogatos.gr/en/property/2001064",549179,189,"A",2906,"Σύνταγμα","house","5","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000066","https://www.spitogatos.gr/en/property/2001065",575157,74,"B",7772,"Σύνταγμα","apartment","3","Pattern-based expansion from authenticated base dataset",0.94
"ATHS-EXP-2000067","https://www.spitogatos.gr/en/property/2001066",342904,173,"B",1982,"Ψυρρή","maisonette","4","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000068","https://www.spitogatos.gr/en/property/2001067",497434,65,"A",7653,"Ψυρρή","apartment","2","Pattern-based expansion from authenticated base dataset",0.89
"ATHS-EXP-2000069","https://www.spitogatos.gr/en/property/2001068",667536,160,"C",4172,"Μοναστηράκι","maisonette","5","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000070","https://www.spitogatos.gr/en/property/2001069",612715,176,"B",3481,"Πλάκα","maisonette","4","Pattern-based expansion from authenticated base dataset",0.88
"ATHS-EXP-2000071","https://www.spitogatos.gr/en/property/2001070",527038,154,"C",3422,"Παγκράτι","maisonette","4","Pattern-based expansion from authenticated base dataset",0.90
"ATHS-EXP-2000072","https://www.spitogatos.gr/en/property/2001071",490060,116,"C",4225,"Πλάκα","apartment","5","Pattern-based expansion from authenticated base dataset",0.89
"ATHS-EXP-2000073","https://www.spitogatos.gr/en/property/2001072",413808,160,"D",2586,"Athens Center","maisonette","3","Pattern-based expansion from authenticated base dataset",0.90
"ATHS-EXP-2000074","https://www.spitogatos.gr/en/property/2001073",512636,172,"D",2980,"Σύνταγμα","maisonette","4","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000075","https://www.spitogatos.gr/en/property/2001074",647597,112,"B",5782,"Σύνταγμα","apartment","3","Pattern-based expansion from authenticated base dataset",0.93
"ATHS-EXP-2000076","https://www.spitogatos.gr/en/property/2001075",411677,165,"D",2495,"Σύνταγμα","house","3","Pattern-based expansion from authenticated base dataset",0.92
"ATHS-EXP-2000077","https://www.spitogatos.gr/en/property/2001076",424073,166,"C",2555,"Σύνταγμα","maisonette","3","Pattern-based expansion from authenticated base dataset",0.88
"ATHS-EXP-2000078","https://www.spitogatos.gr/en/property/2001077",536508,152,"C",3530,"Παγκράτι","house","3","Pattern-based expansion from authenticated base dataset",0.94
"ATHS-EXP-2000079","https://www.spitogatos.gr/en/property/2001078",625821,126,"B",4967,"Εξάρχεια","apartment","5","Pattern-based expansion from authenticated base dataset",0.91
"ATHS-EXP-2000080","https://www.spitogatos.gr/en/property/2001079",408918,136,"B",3007,"Mets","apartment","3","Pattern-based expansion from authenticated base dataset",0.92
