Property_Number,URL,Price,SQM,Energy_Class,Price_per_SQM,Neighborhood,Rooms,Title,Property_Type,Listing_Type,Confidence,Validation_Flags,Timestamp,Property_ID,Description
11,"https://www.spitogatos.gr/en/property/1118042109",950000.0,97.0,"C",9794,"Koukaki",2,"Sale; Apartment; 97m² Koukaki - Makrygianni; Makrigianni | 18042109 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:58","cbabe2eb642b","Make this property yours with a mortgage starting from "
12,"https://www.spitogatos.gr/en/property/1117645874",920000.0,350.0,"A",2629,"Kipseli",1,"Sale; Apartment; 350m² Athens - Center; Kipseli | 17645874 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:55","4825c809d9ba","Make this property yours with a mortgage starting from "
13,"https://www.spitogatos.gr/en/property/1116844797",900000.0,97.0,"C",9278,"Kolonaki",1,"Sale; Apartment; 97m² Kolonaki - Lykavittos; Rigilis | 16844797 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:01","2a9695c04a92","Make this property yours with a mortgage starting from "
14,"https://www.spitogatos.gr/en/property/1117396909",900000.0,199.0,"C",4523,"Kolonaki",1,"Sale; Apartment; 199m² Kolonaki - Lykavittos; Likavittos | 17396909 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:41","1bb05a55a326","Make this property yours with a mortgage starting from "
15,"https://www.spitogatos.gr/en/property/1117524349",885000.0,270.0,"A",3278,"Athens Center",7,"Sale; Apartment; 270m² Athens - Center; Pagkrati | 17524349 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:53:12","b7f6d10bd383","Make this property yours with a mortgage starting from "
16,"https://www.spitogatos.gr/en/property/1117698328",820000.0,102.0,"A+",8039,"Athens Center",1,"Sale; Apartment; 102m² Ilisia; Hilton | 17698328 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:48","59a11ac8e7de","Make this property yours with a mortgage starting from "
17,"https://www.spitogatos.gr/en/property/1117765680",779000.0,265.0,"B",2940,"Athens Center",1,"Sale; Apartment; 265m² Athens - Center; Poligono - Tourkovounia | 17765680 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:08","0b3c6f83d353","Make this property yours with a mortgage starting from "
18,"https://www.spitogatos.gr/en/property/1117215101",740000.0,130.0,"A",5692,"Athens Center",1,"Sale; Apartment; 130m² Athens - Center; Historic Center | 17215101 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:35","8f7f3556a272","Make this property yours with a mortgage starting from "
19,"https://www.spitogatos.gr/en/property/1115537516",695000.0,175.0,"C",3971,"Kolonaki",1,"Sale; Apartment; 175m² Kolonaki - Lykavittos; Kolonaki | 15537516 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:35","90781c77a60d","Make this property yours with a mortgage starting from "
20,"https://www.spitogatos.gr/en/property/1118021052",670000.0,138.0,"B",4855,"Koukaki",1,"Sale; Apartment; 138m² Koukaki - Makrygianni; Makrigianni | 18021052 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:25","30dede3b00d8","Make this property yours with a mortgage starting from "
21,"https://www.spitogatos.gr/en/property/1116864045",650000.0,135.0,"C",4815,"Koukaki",3,"Sale; Apartment; 135m² Koukaki - Makrygianni; Makrigianni | 16864045 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:25","02953f3e63c3","Make this property yours with a mortgage starting from "
22,"https://www.spitogatos.gr/en/property/1117636362",650000.0,110.0,"C",5909,"Athens Center",1,"Sale; Apartment; 110m² Pagkrati; Pagkrati Center | 17636362 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:53:09","91b57021e94b","Make this property yours with a mortgage starting from "
23,"https://www.spitogatos.gr/en/property/1117654323",640000.0,121.0,"E",5289,"Mets",1,"Sale; Apartment; 121m² Mets - Kalimarmaro; Mets | 17654323 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:22","d46c2442fbc0","Make this property yours with a mortgage starting from "
24,"https://www.spitogatos.gr/en/property/1117749568",590000.0,130.0,"C",4538,"Ampelokipoi",1,"Sale; Apartment; 130m² Ampelokipoi - Pentagon; Plateia Mavili | 17749568 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:49:15","1bc8e61dd88d","Make this property yours with a mortgage starting from "
25,"https://www.spitogatos.gr/en/property/1117440170",590000.0,350.0,"C",1686,"Athens Center",1,"Sale; Detached house; 350m² Gazi - Metaxourgio - Votanikos; Votanikos | 17440170 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:49:20","3bfab0ab61e3","Make this property yours with a mortgage starting from "
26,"https://www.spitogatos.gr/en/property/1116989132",580000.0,112.0,"D",5179,"Plaka",1,"Sale; Detached house; 112m² Historic Center; Plaka | 16989132 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:51","65cf84a1efc4","Make this property yours with a mortgage starting from "
27,"https://www.spitogatos.gr/en/property/1117662957",550000.0,150.0,"D",3667,"Athens Center",1,"Sale; Detached house; 150m² Kolonos - Kolokynthous; akadimia Platonos | 17662957 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:28","b0c12469fa5e","Make this property yours with a mortgage starting from "
28,"https://www.spitogatos.gr/en/property/1117798407",500000.0,97.0,"A",5155,"Koukaki",1,"Sale; Apartment; 97m² Koukaki - Makrygianni; Makrigianni | 17798407 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:32","bd52023029d4","Make this property yours with a mortgage starting from "
29,"https://www.spitogatos.gr/en/property/1117003571",500000.0,147.0,"F",3401,"Athens Center",1,"Sale; Apartment; 147m² Athens - Center; Sepolia - Skouze | 17003571 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:53:05","72e6285ee82d","Make this property yours with a mortgage starting from "
30,"https://www.spitogatos.gr/en/property/1117800351",435000.0,91.0,"C",4780,"Kolonaki",1,"Sale; Apartment; 91m² Kolonaki - Lykavittos; Likavittos | 17800351 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:01","f4000cccaeae","Make this property yours with a mortgage starting from "
31,"https://www.spitogatos.gr/en/property/1117303634",395000.0,56.0,"B",7054,"Athens Center",1,"Sale; Apartment; 56m² Athens - Center; Historic Center | 17303634 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:06","712fce2c776c","Make this property yours with a mortgage starting from "
32,"https://www.spitogatos.gr/en/property/1117453190",390000.0,64.0,"C",6094,"Kolonaki",1,"Sale; Apartment; 64m² Kolonaki - Lykavittos; Kolonaki | 17453190 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:25","87400a90d5bc","Make this property yours with a mortgage starting from "
33,"https://www.spitogatos.gr/en/property/1117931915",377000.0,98.0,"A",3847,"Athens Center",1,"Sale; Apartment; 98m² Athens - Center; Gizi - Pedion Areos | 17931915 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:46:52","f0a37cab367d","Make this property yours with a mortgage starting from "
34,"https://www.spitogatos.gr/en/property/1117953175",360000.0,98.0,"D",3673,"Kolonaki",1,"Sale; Apartment; 98m² Athens - Center; Kolonaki - Lykavittos | 17953175 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:36","2cacb19752f5","Make this property yours with a mortgage starting from "
35,"https://www.spitogatos.gr/en/property/1117930833",355000.0,47.0,"A",7553,"Kolonaki",1,"Sale; Studio; 47m² Kolonaki - Lykavittos; Kolonaki | 17930833 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:35","5e95fb6d85cc","Make this property yours with a mortgage starting from "
36,"https://www.spitogatos.gr/en/property/1117966227",350000.0,115.0,"C",3043,"Koukaki",1,"Sale; Apartment; 115m² Koukaki - Makrygianni; Koukaki - Pediki Chara | 17966227 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:32","5ad305916676","Make this property yours with a mortgage starting from "
37,"https://www.spitogatos.gr/en/property/1117890847",350000.0,67.0,"C",5224,"Kolonaki",1,"Sale; Apartment; 67m² Kolonaki - Lykavittos; Kolonaki | 17890847 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:48","85a8adeb726d","Make this property yours with a mortgage starting from "
38,"https://www.spitogatos.gr/en/property/1117629227",340000.0,140.0,"C",2429,"Athens Center",1,"Sale; Apartment; 140m² Neos Kosmos; Kinosargous | 17629227 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:53:41","e48e69187182","Make this property yours with a mortgage starting from "
39,"https://www.spitogatos.gr/en/property/1117933536",320000.0,194.0,"B",1649,"Athens Center",1,"Sale; Apartment; 194m² Athens - Center; Agios Eleftherios - Probona - Rizoupoli | 17933536 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:38","b7ed51d3dedd","Make this property yours with a mortgage starting from "
40,"https://www.spitogatos.gr/en/property/1117735051",310000.0,134.0,"D",2313,"Athens Center",3,"Sale; Maisonette; 134m² Agios Eleftherios - Probona - Rizoupoli; Agios Eleftherios | 17735051 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:22","392dfe044eb7","Make this property yours with a mortgage starting from "
41,"https://www.spitogatos.gr/en/property/1116669206",298000.0,113.0,"A",2637,"Ampelokipoi",1,"Sale; Apartment; 113m² Ampelokipoi - Pentagon; Girokomeio | 16669206 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:05","12f78e13e825","Make this property yours with a mortgage starting from "
42,"https://www.spitogatos.gr/en/property/1117246803",295000.0,102.0,"C",2892,"Athens Center",3,"Sale; Apartment; 102m² Neos Kosmos; Center | 17246803 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:46:59","a6696c7908f1","Make this property yours with a mortgage starting from "
43,"https://www.spitogatos.gr/en/property/1117234676",295000.0,93.0,"B",3172,"Athens Center",1,"Sale; Apartment; 93m² Athens - Center; Neos Kosmos | 17234676 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:55","28cf2bb17c9f","Make this property yours with a mortgage starting from "
44,"https://www.spitogatos.gr/en/property/1117626301",280000.0,84.0,"C",3333,"Athens Center",3,"Sale; Apartment; 84m² Neos Kosmos; Center | 17626301 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:43","c7ef8363b34a","Make this property yours with a mortgage starting from "
45,"https://www.spitogatos.gr/en/property/1117303265",275000.0,56.0,"C",4911,"Athens Center",1,"Sale; Maisonette; 56m² Pagkrati; Pagkrati Center | 17303265 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:31","20c4f7b703f0","Make this property yours with a mortgage starting from "
46,"https://www.spitogatos.gr/en/property/1118016262",275000.0,85.0,"C",3235,"Athens Center",2,"Sale; Apartment; 85m² Pagkrati; Pagkrati Center | 18016262 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:58","f4880bee55db","Make this property yours with a mortgage starting from "
47,"https://www.spitogatos.gr/en/property/1117131266",265000.0,68.0,"A",3897,"Athens Center",1,"Sale; Apartment; 68m² Gazi - Metaxourgio - Votanikos; Kerameikos | 17131266 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:13","9dd11aa01ad5","Make this property yours with a mortgage starting from "
48,"https://www.spitogatos.gr/en/property/1118007284",265000.0,123.0,"E",2154,"Kipseli",1,"Sale; Apartment; 123m² Athens - Center; Kipseli | 18007284 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:49:01","46b4850f7b09","Make this property yours with a mortgage starting from "
49,"https://www.spitogatos.gr/en/property/1117093450",260000.0,114.0,"C",2281,"Exarchia",3,"Sale; Apartment; 114m² Exarchia - Neapoli; Neapoli Exarcheion | 17093450 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:14","9937d5bb4240","Make this property yours with a mortgage starting from "
50,"https://www.spitogatos.gr/en/property/1117178173",260000.0,87.0,"D",2989,"Ampelokipoi",1,"Sale; Apartment; 87m² Ampelokipoi - Pentagon; Ampelokipoi | 17178173 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:21","782aac9dd02d","Make this property yours with a mortgage starting from "
51,"https://www.spitogatos.gr/en/property/1117497765",250000.0,59.0,"G",4237,"Athens Center",1,"Sale; Studio; 59m² Athens - Center; Pagkrati | 17497765 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:39","9d477818eea3","Make this property yours with a mortgage starting from "
52,"https://www.spitogatos.gr/en/property/1116864066",250000.0,59.0,"C",4237,"Kolonaki",1,"Sale; Apartment; 59m² Kolonaki - Lykavittos; Kolonaki | 16864066 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:49","59242e8bf232","Make this property yours with a mortgage starting from "
53,"https://www.spitogatos.gr/en/property/1117904864",250000.0,64.0,"E",3906,"Kipseli",2,"Sale; Apartment; 64m² Athens - Center; Kipseli | 17904864 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:18","259cb162ec47","Make this property yours with a mortgage starting from "
54,"https://www.spitogatos.gr/en/property/1117847032",250000.0,222.0,"D",1126,"Kipseli",1,"Sale; Detached house; 222m² Kipseli; Ano Kipseli - Evelpidon | 17847032 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:25","aba0ecba6070","Make this property yours with a mortgage starting from "
55,"https://www.spitogatos.gr/en/property/1117074430",250000.0,75.0,"D",3333,"Koukaki",1,"Sale; Apartment; 75m² Koukaki - Makrygianni; Koukaki - Pediki Chara | 17074430 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:32","77ac2b1d2f7e","Make this property yours with a mortgage starting from "
56,"https://www.spitogatos.gr/en/property/1117690666",245000.0,110.0,"C",2227,"Athens Center",3,"Sale; Apartment; 110m² Patision - Acharnon; Kato Patisia | 17690666 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:08","e851c9c59566","Make this property yours with a mortgage starting from "
57,"https://www.spitogatos.gr/en/property/1116064024",240000.0,114.0,"D",2105,"Kipseli",1,"Sale; Apartment; 114m² Kipseli; Ano Kipseli - Evelpidon | 16064024 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:12","d69cd0fee103","Make this property yours with a mortgage starting from "
58,"https://www.spitogatos.gr/en/property/1115531468",230000.0,110.0,"A",2091,"Athens Center",3,"Sale; Apartment; 110m² Patision - Acharnon; Kato Patisia | 15531468 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:42","04dacb74e019","Make this property yours with a mortgage starting from "
59,"https://www.spitogatos.gr/en/property/1117680331",215000.0,85.0,"C",2529,"Ampelokipoi",2,"Sale; Apartment; 85m² Ampelokipoi - Pentagon; Ampelokipoi | 17680331 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:39","207bdf40402f","Make this property yours with a mortgage starting from "
60,"https://www.spitogatos.gr/en/property/1117050794",210000.0,74.0,"C",2838,"Athens Center",1,"Sale; Apartment; 74m² Kolonos - Kolokynthous; Kolonos | 17050794 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:35","a186a73cf070","Make this property yours with a mortgage starting from "
61,"https://www.spitogatos.gr/en/property/1117828141",205000.0,92.0,"D",2228,"Athens Center",1,"Sale; Apartment; 92m² Neos Kosmos; Kinosargous | 17828141 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:25","b4bd6964d8af","Make this property yours with a mortgage starting from "
62,"https://www.spitogatos.gr/en/property/1117188200",200000.0,181.0,"C",1105,"Athens Center",2,"Sale; Maisonette; 181m² Patision - Acharnon; Agios Nikolaos | 17188200 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:15","27ebcb88c3a9","Make this property yours with a mortgage starting from "
63,"https://www.spitogatos.gr/en/property/1117454224",200000.0,86.0,"C",2326,"Athens Center",1,"Sale; Apartment; 86m² Attiki; Platia Attikis | 17454224 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:52","0d19b58fe81a","Make this property yours with a mortgage starting from "
64,"https://www.spitogatos.gr/en/property/1117558960",199000.0,46.0,"C",4326,"Exarchia",1,"Sale; Apartment; 46m² Exarchia - Neapoli; Exarcheia | 17558960 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:29","8c236e3100d2","Make this property yours with a mortgage starting from "
65,"https://www.spitogatos.gr/en/property/1117364353",195000.0,70.0,"D",2786,"Athens Center",2,"Sale; Apartment; 70m² Sepolia - Skouze; Sepolia | 17364353 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:52","8ba8c588c89f","Make this property yours with a mortgage starting from "
66,"https://www.spitogatos.gr/en/property/1117612262",195000.0,70.0,"C",2786,"Athens Center",1,"Sale; Apartment; 70m² Patision - Acharnon; Agios Nikolaos | 17612262 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:04","c2b6ab509f89","Make this property yours with a mortgage starting from "
67,"https://www.spitogatos.gr/en/property/1116758246",182000.0,74.0,"C",2459,"Athens Center",1,"Sale; Apartment; 74m² Attiki; Leof. Liosion | 16758246 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:49:08","d7413b0cb597","Make this property yours with a mortgage starting from "
68,"https://www.spitogatos.gr/en/property/1117742786",180000.0,153.0,"C",1176,"Athens Center",3,"Sale; Apartment; 153m² Athens - Center; Pagkrati | 17742786 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:58","c37b5e3d0c59","Make this property yours with a mortgage starting from "
69,"https://www.spitogatos.gr/en/property/1116929663",180000.0,132.0,"D",1364,"Athens Center",3,"Sale; Apartment; 132m² Patision - Acharnon; Agios Panteleimonas | 16929663 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:53:22","586eb86ad04a","Make this property yours with a mortgage starting from "
70,"https://www.spitogatos.gr/en/property/1117349380",175000.0,50.0,"F",3500,"Koukaki",1,"Sale; Apartment; 50m² Koukaki - Makrygianni; Koukaki - Pediki Chara | 17349380 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:16","722a0e0a1e8a","Make this property yours with a mortgage starting from "
71,"https://www.spitogatos.gr/en/property/1117915593",160000.0,69.0,"C",2319,"Ampelokipoi",2,"Sale; Apartment; 69m² Ampelokipoi - Pentagon; Erithros | 17915593 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:28","2f1920caa295","Make this property yours with a mortgage starting from "
72,"https://www.spitogatos.gr/en/property/1117657336",158000.0,70.0,"D",2257,"Athens Center",2,"Sale; Apartment; 70m² Athens - Center; Neos Kosmos | 17657336 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:01","949a9ae4e526","Make this property yours with a mortgage starting from "
73,"https://www.spitogatos.gr/en/property/1117914307",155000.0,50.0,"D",3100,"Athens Center",1,"Sale; Apartment; 50m² Ilisia; Kato Ilisia | 17914307 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:53:35","b78cbe842b07","Make this property yours with a mortgage starting from "
74,"https://www.spitogatos.gr/en/property/1115721901",150000.0,97.0,"D",1546,"Kipseli",2,"Sale; Apartment; 97m² Kipseli; Platia Kipselis | 15721901 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:22","e5e3eaaee4f8","Make this property yours with a mortgage starting from "
75,"https://www.spitogatos.gr/en/property/1117768818",150000.0,52.0,"B",2885,"Athens Center",1,"Sale; Apartment; 52m² Agios Eleftherios - Probona - Rizoupoli; Rizoupoli | 17768818 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:45","04287076c894","Make this property yours with a mortgage starting from "
76,"https://www.spitogatos.gr/en/property/1117776475",150000.0,34.0,"D",4412,"Athens Center",1,"Sale; Apartment; 34m² Neos Kosmos; Center | 17776475 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:52","3d33670deebc","Make this property yours with a mortgage starting from "
77,"https://www.spitogatos.gr/en/property/1117244783",147000.0,62.0,"B",2371,"Athens Center",1,"Sale; Apartment; 62m² Patision - Acharnon; Kato Patisia | 17244783 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:18","0042fd76d90c","Make this property yours with a mortgage starting from "
78,"https://www.spitogatos.gr/en/property/1117633265",142000.0,75.0,"D",1893,"Ampelokipoi",1,"Sale; Apartment; 75m² Ampelokipoi - Pentagon; Ampelokipoi | 17633265 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:11","fa10a683a86f","Make this property yours with a mortgage starting from "
79,"https://www.spitogatos.gr/en/property/1116222768",142000.0,50.0,"C",2840,"Kipseli",1,"Sale; Apartment; 50m² Kipseli; Nea Kipseli | 16222768 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:45","8f9d3f7653ee","Make this property yours with a mortgage starting from "
80,"https://www.spitogatos.gr/en/property/1117482555",140000.0,62.0,"D",2258,"Athens Center",1,"Sale; Apartment; 62m² Pagkrati; Pagkrati Center | 17482555 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:10","6972532cb8cb","Make this property yours with a mortgage starting from "
81,"https://www.spitogatos.gr/en/property/1117789231",140000.0,72.0,"B",1944,"Athens Center",1,"Sale; Apartment; 72m² Pagkrati; Agios Artemios | 17789231 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:53:38","033c26903bb9","Make this property yours with a mortgage starting from "
82,"https://www.spitogatos.gr/en/property/1117818215",139000.0,88.0,"D",1580,"Athens Center",2,"Sale; Apartment; 88m² Gizi - Pedion Areos; Lofos Finopoulou | 17818215 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:42","42ea3f647341","Make this property yours with a mortgage starting from "
83,"https://www.spitogatos.gr/en/property/1116865600",135000.0,88.0,"A",1534,"Athens Center",3,"Sale; Apartment; 88m² Athens - Center; Patision - Acharnon | 16865600 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:42","5b9ae1bade49","Make this property yours with a mortgage starting from "
84,"https://www.spitogatos.gr/en/property/1117447571",130000.0,71.0,"C",1831,"Athens Center",1,"Sale; Apartment; 71m² Attiki; Platia Attikis | 17447571 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:12","18bdf7231160","Make this property yours with a mortgage starting from "
